"TrialID","Targ"
"286.P001","n"
"286.P002","y"
"286.P003","n"
"288.P001","n"
"288.P002","y"
"288.P003","n"
"314.P001","n"
"314.P002","n"
"314.P003","n"
"326.P001","n"
"326.P002","y"
"326.P003","n"
"328.P001","n"
"328.P002","y"
"328.P003","n"
"332.P001","n"
"332.P002","n"
"332.P003","n"
"333.P001","n"
"333.P002","n"
"333.P003","n"
"356.P001","n"
"356.P002","n"
"356.P003","y"
"443.P001","n"
"443.P002","n"
"443.P003","n"
"468.P001","n"
"468.P002","n"
"468.P003","n"
"472.P001","n"
"472.P002","n"
"472.P003","n"
"476.P001","n"
"476.P002","n"
"476.P003","n"
"477.P001","n"
"477.P002","n"
"477.P003","n"
"479.P001","n"
"479.P002","n"
"479.P003","n"
"480.P001","n"
"480.P002","n"
"480.P003","n"
"481.P001","n"
"481.P002","n"
"481.P003","n"
"505.P001","n"
"505.P002","n"
"505.P003","n"
"516.P001","n"
"516.P002","n"
"516.P003","n"
"522.P001","n"
"522.P002","y"
"522.P003","n"
"633.P001","n"
"633.P002","y"
"633.P003","n"
"657.P001","n"
"657.P002","n"
"657.P003","n"
"675.P001","n"
"675.P002","n"
"675.P003","n"
"677.P001","n"
"677.P002","n"
"677.P003","n"
"680.P001","n"
"680.P002","n"
"680.P003","n"
"709.P001","n"
"709.P002","y"
"709.P003","n"
"713.P001","n"
"713.P002","y"
"713.P003","n"
"716.P001","n"
"716.P002","y"
"716.P003","n"
"717.P001","n"
"717.P002","y"
"717.P003","n"
"720.P001","n"
"720.P002","n"
"720.P003","n"
"721.P001","n"
"721.P002","n"
"721.P003","n"
"728.P001","n"
"728.P002","n"
"728.P003","n"
"729.P001","n"
"729.P002","n"
"729.P003","n"
"731.P001","n"
"731.P002","n"
"731.P003","n"
"736.P001","n"
"736.P002","n"
"736.P003","n"
"739.P001","n"
"739.P002","n"
"739.P003","n"
"741.P001","n"
"741.P002","n"
"741.P003","n"
"745.P001","n"
"745.P002","n"
"745.P003","n"
"755.P001","n"
"755.P002","n"
"755.P003","n"
"788.P001","n"
"788.P002","n"
"788.P003","n"
"855.P001","n"
"855.P002","n"
"855.P003","n"
"857.P001","n"
"857.P002","n"
"857.P003","n"
"871.P001","n"
"871.P002","n"
"871.P003","n"
"872.P001","n"
"872.P002","n"
"872.P003","n"
"883.P001","n"
"883.P002","n"
"883.P003","n"
"887.P001","n"
"887.P002","n"
"887.P003","n"
"919.P001","y"
"919.P002","n"
"919.P003","n"
"921.P001","n"
"921.P002","y"
"921.P003","n"
"961.P001","n"
"961.P002","n"
"961.P003","n"
"1035.P001","n"
"1035.P002","y"
"1035.P003","n"
"1037.P001","n"
"1037.P002","y"
"1037.P003","n"
"1039.P001","n"
"1039.P002","y"
"1039.P003","n"
"1063.P001","n"
"1063.P002","n"
"1063.P003","n"
"1064.P001","n"
"1064.P002","n"
"1064.P003","n"
"1069.P001","n"
"1069.P002","n"
"1069.P003","n"
"1076.P001","n"
"1076.P002","n"
"1076.P003","n"
"1079.P001","n"
"1079.P002","n"
"1079.P003","n"
"1082.P001","n"
"1082.P002","n"
"1082.P003","n"
"1083.P001","n"
"1083.P002","n"
"1083.P003","n"
"1086.P001","n"
"1086.P002","n"
"1086.P003","n"
"1088.P001","n"
"1088.P002","n"
"1088.P003","n"
"1105.P001","y"
"1105.P002","n"
"1105.P003","n"
"1107.P001","y"
"1107.P002","n"
"1107.P003","n"
"1112.P001","y"
"1112.P002","n"
"1112.P003","n"
"1118.P001","y"
"1118.P002","n"
"1118.P003","n"
"1120.P001","y"
"1120.P002","n"
"1120.P003","n"
"1124.P001","n"
"1124.P002","y"
"1124.P003","n"
"1125.P001","y"
"1125.P002","n"
"1125.P003","n"
"1127.P001","y"
"1127.P002","n"
"1127.P003","n"
"1132.P001","n"
"1132.P002","n"
"1132.P003","n"
"1133.P001","n"
"1133.P002","n"
"1133.P003","n"
"1135.P001","n"
"1135.P002","n"
"1135.P003","n"
"1136.P001","n"
"1136.P002","n"
"1136.P003","n"
"1138.P001","n"
"1138.P002","n"
"1138.P003","n"
"1141.P001","n"
"1141.P002","n"
"1141.P003","n"
"1142.P001","n"
"1142.P002","n"
"1142.P003","n"
"1143.P001","n"
"1143.P002","n"
"1143.P003","n"
"1144.P001","n"
"1144.P002","n"
"1144.P003","n"
"1151.P001","n"
"1151.P002","n"
"1151.P003","n"
"1152.P001","n"
"1152.P002","y"
"1152.P003","n"
"1153.P001","n"
"1153.P002","n"
"1153.P003","n"
"1154.P001","n"
"1154.P002","n"
"1154.P003","n"
"1155.P001","n"
"1155.P002","n"
"1155.P003","n"
"1158.P001","n"
"1158.P002","n"
"1158.P003","n"
"1160.P001","n"
"1160.P002","n"
"1160.P003","n"
"1161.P001","n"
"1161.P002","n"
"1161.P003","n"
"1162.P001","n"
"1162.P002","n"
"1162.P003","n"
"1168.P001","y"
"1168.P002","n"
"1168.P003","n"
"1191.P001","n"
"1191.P002","n"
"1191.P003","y"
"1209.P001","y"
"1209.P002","n"
"1209.P003","n"
"1228.P001","y"
"1228.P002","n"
"1228.P003","n"
"1229.P001","y"
"1229.P002","n"
"1229.P003","n"
"1230.P001","y"
"1230.P002","n"
"1230.P003","n"
"1231.P001","y"
"1231.P002","n"
"1231.P003","n"
"1232.P001","y"
"1232.P002","n"
"1232.P003","n"
"1233.P001","y"
"1233.P002","n"
"1233.P003","n"
"1238.P001","n"
"1238.P002","n"
"1238.P003","n"
"1242.P001","n"
"1242.P002","n"
"1242.P003","n"
"1246.P001","n"
"1246.P002","n"
"1246.P003","n"
"1247.P001","n"
"1247.P002","n"
"1247.P003","n"
"1258.P001","n"
"1258.P002","y"
"1258.P003","n"
"1259.P001","y"
"1259.P002","n"
"1259.P003","n"
"1266.P001","y"
"1266.P002","n"
"1266.P003","n"
"1268.P001","y"
"1268.P002","n"
"1268.P003","n"
"1269.P001","y"
"1269.P002","n"
"1269.P003","n"
"1279.P001","y"
"1279.P002","n"
"1279.P003","n"
"1281.P001","y"
"1281.P002","n"
"1281.P003","n"
"1282.P001","y"
"1282.P002","n"
"1282.P003","n"
"1316.P001","n"
"1316.P002","y"
"1316.P003","n"
"1340.P001","n"
"1340.P002","n"
"1340.P003","n"
"1345.P001","n"
"1345.P002","n"
"1345.P003","n"
"1350.P001","n"
"1350.P002","n"
"1350.P003","n"
"1379.P001","n"
"1379.P002","n"
"1379.P003","y"
"1410.P001","n"
"1410.P002","y"
"1410.P003","n"
"1411.P001","n"
"1411.P002","y"
"1411.P003","n"
"1412.P001","n"
"1412.P002","y"
"1412.P003","n"
"1414.P001","n"
"1414.P002","y"
"1414.P003","n"
