"TrialID","ClipID","EventID"
"286.P001","286","P001"
"286.P002","286","P002"
"286.P003","286","P003"
"288.P001","288","P001"
"288.P002","288","P002"
"288.P003","288","P003"
"314.P001","314","P001"
"314.P002","314","P002"
"314.P003","314","P003"
"326.P001","326","P001"
"326.P002","326","P002"
"326.P003","326","P003"
"328.P001","328","P001"
"328.P002","328","P002"
"328.P003","328","P003"
"332.P001","332","P001"
"332.P002","332","P002"
"332.P003","332","P003"
"333.P001","333","P001"
"333.P002","333","P002"
"333.P003","333","P003"
"356.P001","356","P001"
"356.P002","356","P002"
"356.P003","356","P003"
"443.P001","443","P001"
"443.P002","443","P002"
"443.P003","443","P003"
"468.P001","468","P001"
"468.P002","468","P002"
"468.P003","468","P003"
"472.P001","472","P001"
"472.P002","472","P002"
"472.P003","472","P003"
"476.P001","476","P001"
"476.P002","476","P002"
"476.P003","476","P003"
"477.P001","477","P001"
"477.P002","477","P002"
"477.P003","477","P003"
"479.P001","479","P001"
"479.P002","479","P002"
"479.P003","479","P003"
"480.P001","480","P001"
"480.P002","480","P002"
"480.P003","480","P003"
"481.P001","481","P001"
"481.P002","481","P002"
"481.P003","481","P003"
"505.P001","505","P001"
"505.P002","505","P002"
"505.P003","505","P003"
"516.P001","516","P001"
"516.P002","516","P002"
"516.P003","516","P003"
"522.P001","522","P001"
"522.P002","522","P002"
"522.P003","522","P003"
"532.P001","532","P001"
"532.P002","532","P002"
"532.P003","532","P003"
"535.P001","535","P001"
"535.P002","535","P002"
"535.P003","535","P003"
"624.P001","624","P001"
"624.P002","624","P002"
"624.P003","624","P003"
"633.P001","633","P001"
"633.P002","633","P002"
"633.P003","633","P003"
"657.P001","657","P001"
"657.P002","657","P002"
"657.P003","657","P003"
"675.P001","675","P001"
"675.P002","675","P002"
"675.P003","675","P003"
"677.P001","677","P001"
"677.P002","677","P002"
"677.P003","677","P003"
"680.P001","680","P001"
"680.P002","680","P002"
"680.P003","680","P003"
"709.P001","709","P001"
"709.P002","709","P002"
"709.P003","709","P003"
"713.P001","713","P001"
"713.P002","713","P002"
"713.P003","713","P003"
"716.P001","716","P001"
"716.P002","716","P002"
"716.P003","716","P003"
"717.P001","717","P001"
"717.P002","717","P002"
"717.P003","717","P003"
"720.P001","720","P001"
"720.P002","720","P002"
"720.P003","720","P003"
"721.P001","721","P001"
"721.P002","721","P002"
"721.P003","721","P003"
"725.P001","725","P001"
"725.P002","725","P002"
"725.P003","725","P003"
"728.P001","728","P001"
"728.P002","728","P002"
"728.P003","728","P003"
"729.P001","729","P001"
"729.P002","729","P002"
"729.P003","729","P003"
"731.P001","731","P001"
"731.P002","731","P002"
"731.P003","731","P003"
"736.P001","736","P001"
"736.P002","736","P002"
"736.P003","736","P003"
"739.P001","739","P001"
"739.P002","739","P002"
"739.P003","739","P003"
"741.P001","741","P001"
"741.P002","741","P002"
"741.P003","741","P003"
"745.P001","745","P001"
"745.P002","745","P002"
"745.P003","745","P003"
"755.P001","755","P001"
"755.P002","755","P002"
"755.P003","755","P003"
"788.P001","788","P001"
