"ClipID","MEDIA_FILE","CODEC","MD5SUM","DURATION"
"51","HVC51.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","88f507a6fe047b3ba1dbefc4a92b6347","401"
"72","HVC72.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","71314eab7cf2932989bab2f6602f898d","110"
"285","HVC285.mp4","H.264/MPEG4 AVC High Profile Level 3.1","baddd3cd56d6a5e22143611b36078701","22"
"329","HVC329.mp4","H.264/MPEG4 AVC High Profile Level 2.1","d40a239d20e289d7315404b9e78aaf76","24"
"330","HVC330.mp4","H.264/MPEG4 AVC High Profile Level 2.1","f3afe2e70c2e94aa30047e8b252479f3","23"
"387","HVC387.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","20f93cc1d8055cc89b17bc987026efc9","142"
"397","HVC397.mp4","H.264/MPEG4 AVC High Profile Level 3","b914439f86be5ec4f773439203381f1c","163"
"422","HVC422.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","1078b3dd0e099b11ee6e23f2f46148c7","109"
"444","HVC444.mp4","H.264/MPEG4 AVC High Profile Level 1.2","4032d56b46e988b817e1820c5a9783ed","38"
"469","HVC469.mp4","H.264/MPEG4 AVC High Profile Level 2.1","12b6a1186e81c7b8ee292d42d1a6e286","14"
"470","HVC470.mp4","H.264/MPEG4 AVC High Profile Level 2.1","eb9a5d00ca01423e42dd4af5c9999b3b","26"
"473","HVC473.mp4","H.264/MPEG4 AVC High Profile Level 2.1","f404ee9d9139d48375bd74c193885480","20"
"474","HVC474.mp4","H.264/MPEG4 AVC High Profile Level 2.1","94a3714398a5921f0a0ec0c4214193f3","22"
"475","HVC475.mp4","H.264/MPEG4 AVC High Profile Level 2.1","81ffc39a5541dd05ccf0aedef8039296","41"
"478","HVC478.mp4","H.264/MPEG4 AVC High Profile Level 2.1","3e5401cf850cdbc4a3629396e8f90509","38"
"485","HVC485.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","f1c6db081745b5a35d9e8133699fb6da","217"
"519","HVC519.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","a0b731dc93d6dfe78cafe5360507ec2d","63"
"617","HVC617.mp4","H.264/MPEG4 AVC High Profile Level 3","d67db63fea6810dd8d57f963d1b61f11","466"
"620","HVC620.mp4","H.264/MPEG4 AVC High Profile Level 2","9c95e242edb923c9d462dcc28c1f88f1","351"
"635","HVC635.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","7903513d73d12dc2f92f1564dd8d684b","270"
"648","HVC648.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","87912a5e293185ee545775ca4670ac5c","202"
"659","HVC659.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","54e2f5de88f2eab2b7b697bb5ba03237","30"
"660","HVC660.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","3307a58200cf53de55f1570efd2f1a64","424"
"682","HVC682.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","869393f3624da518e430456fec7cdcfc","59"
"703","HVC703.mp4","H.264/MPEG4 AVC High Profile Level 3.1","3aee1cbbe3e7cc548ed1e3aea061a722","39"
"711","HVC711.mp4","H.264/MPEG4 AVC High Profile Level 3.1","20836eb3d702408117b779660093c7b0","44"
"712","HVC712.mp4","H.264/MPEG4 AVC High Profile Level 3.1","0ac73bf5b0957c2fbf004fbddce05aac","33"
"715","HVC715.mp4","H.264/MPEG4 AVC High Profile Level 3.1","9d40c21a801132788f87e4fe655fcc91","150"
"735","HVC735.mp4","H.264/MPEG4 AVC High Profile Level 3","bfb369ac103c4ba555a2705d05b8081b","73"
"748","HVC748.mp4","H.264/MPEG4 AVC High Profile Level 3","9071fc3424345efa36555df9e923d0b3","46"
"750","HVC750.mp4","H.264/MPEG4 AVC High Profile Level 3","59804ae694120caeabb2b042388efcd3","18"
"753","HVC753.mp4","H.264/MPEG4 AVC High Profile Level 3","0890ce8a9cb1c1e461465f0386d532f9","77"
"758","HVC758.mp4","H.264/MPEG4 AVC High Profile Level 3.1","f369d273765580519e14939c106a850e","20"
"759","HVC759.mp4","H.264/MPEG4 AVC High Profile Level 3.1","9f5f525d61b3ea6d220e82ab61331c17","91"
"760","HVC760.mp4","H.264/MPEG4 AVC High Profile Level 3","8bd0537c7a72cd10f16dc7bd3bad94ea","66"
"763","HVC763.mp4","H.264/MPEG4 AVC High Profile Level 3","db7ee70b88eef6e9f15c4a7102a4a4f3","82"
"764","HVC764.mp4","H.264/MPEG4 AVC High Profile Level 3","2fb768f47791835bd76feb0dd2c14e37","64"
"766","HVC766.mp4","H.264/MPEG4 AVC High Profile Level 3","5bc8fcc597598c12481178353a8bbe71","54"
"767","HVC767.mp4","H.264/MPEG4 AVC High Profile Level 3.1","4952c35c6beed44ba25e4e569bdc7d14","17"
"772","HVC772.mp4","H.264/MPEG4 AVC High Profile Level 3.1","db44df47546b7be194e1b2adb570bb91","29"
"854","HVC854.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","ec619c1b6ac4de5c1c778b89822c6603","14"
"863","HVC863.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","caba24c39332bbde05b15d96d6448d78","163"
"886","HVC886.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","061358720d90aee625eed6af249d80fa","75"
"895","HVC895.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","af83669cb5c01d270f5403d098acf8eb","265"
"896","HVC896.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","32eca05728d50b65d7cdccfca62c89a1","54"
"909","HVC909.mp4","H.264/MPEG4 AVC High Profile Level 3.2","69a4f04275e18089dc5dc1adff5566b8","62"
"933","HVC933.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","385c6bdcb24918ccfffa1c28139f5c8d","118"
"938","HVC938.mp4","H.264/MPEG-4 Visual Advanced Simple Profile Level 3b","9405e86c40b622dcfde6b8bebfd7f998","269"
"1012","HVC1012.mp4","H.264/MPEG4 AVC High Profile Level 3.2","903f1bf0e1673186c2bb94ea623c677e","25"
"1040","HVC1040.mp4","H.264/MPEG4 AVC High Profile Level 3.1","1cc0e351f753c117af3d94a3f303c451","57"
"1060","HVC1060.mp4","H.264/MPEG4 AVC High Profile Level 3.1","242f6c6b3e0f4b6ca47dd6a09073ba6f","73"
"1062","HVC1062.mp4","H.264/MPEG4 AVC High Profile Level 2.1","4e6190e818c7ac842154bd021d4d5019","103"
"1068","HVC1068.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","a234d2eda4da436532d0bb56eed52045","95"
"1073","HVC1073.mp4","H.264/MPEG4 AVC High Profile Level 2.1","95abe25b86eb99ba535f713d7ad2d5c8","91"
"1074","HVC1074.mp4","H.264/MPEG4 AVC High Profile Level 3","aa35b6b47aa00b468394722e23283255","100"
"1075","HVC1075.mp4","H.264/MPEG4 AVC High Profile Level 3","dd28a174b08795dda29e4129a1d27171","107"
"1077","HVC1077.mp4","H.264/MPEG4 AVC High Profile Level 3.1","487ab7be2cb2daefe205f72285043153","30"
"1078","HVC1078.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","cb2c1ce0dffd5be8051db31822c9dba7","352"
"1084","HVC1084.mp4","H.264/MPEG4 AVC High Profile Level 3.1","a7a1c9f928d7fd489af7c7aa01998814","45"
"1085","HVC1085.mp4","H.264/MPEG4 AVC High Profile Level 3.1","86b74c980ad243f9dd9d0ba99b577734","15"
"1087","HVC1087.mp4","H.264/MPEG4 AVC High Profile Level 3.1","c44c3fd13c5b7035c2081d59a29221f5","80"
"1099","HVC1099.mp4","H.264/MPEG4 AVC Baseline Profile Level 1.3","5f9ebfe3a866f2977620ae72927c3ff6","205"
"1103","HVC1103.mp4","H.264/MPEG4 AVC High Profile Level 3.1","b074247012124081ec879a6207027f94","29"
"1109","HVC1109.mp4","H.264/MPEG4 AVC High Profile Level 3.1","ec16d484cff23ad272ee83797cf056e1","164"
"1110","HVC1110.mp4","H.264/MPEG4 AVC High Profile Level 2.2","7ae3b8a4f4f3b81017a1bb94a7aadacb","35"
