"ClipID","EventID","INSTANCE_TYPE","SYNOPSIS","GENRE","TOPIC","SCENE","OBJECTS","ACTIVITIES","INSTANCE_VARIETY","INSTANCE_COMPLEXITY","AUDIO_EVIDENCE","TEXT_EVIDENCE","NON_ENG_SPEECH","NON_ENG_TEXT"
"51","P001","positive","A team of people and an elephant set up a circus tent.","Other","MED_10_EVENTS","outdoors, rural area","workers, tent, ropes, trucks, trailers, elephant","pulling ropes, moving equpiment, laying out the tent ont he ground","","","yes","yes","no","no"
"72","P002","positive","Highlights from kids' summer playing baseball","Home Video","MED_10_EVENTS","","","","","","yes","yes","no","no"
"285","P002","positive","home run plus 2 other runs batted in","Home Video","MED_10_EVENTS","","","","","","yes","no","no","no"
"329","P002","positive","home run","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"330","P002","positive","3 run home run","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"387","NULL","NULL","Video from 1918 opening day of the Oakland Oaks baseball franchise.","Performance","SPORTS","","","","","","","","",""
"397","P001","positive","two people pitch a Whelen tent","Demonstration","MED_10_EVENTS","outdoors during the day","tent fly, tent, stakes","assembling a tent, lashing limbs together","","","yes","no","no","no"
"422","P003","positive","Man making birthday cake for daughter","Home Video","MED_10_EVENTS","kitchen","microwave, electric mixer","mixing, decorating","","","yes","yes","no","no"
"444","NULL","NULL","Dogs sleeping and snoring","Home Video","ANIMALS","","","","","","","","",""
"469","NULL","NULL","Little boys riding on a wheel chair","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"470","NULL","NULL","A woman's speech on weight loss","Home Video","INFORMATIVE","","","","","","","","",""
"473","NULL","NULL","Boy and father dancing","Home Video","DANCE","","","","","","","","",""
"474","NULL","NULL","Little boy drawing","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"475","NULL","NULL","Little boy playing on a blow-up jungle gym","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"478","NULL","NULL","Little boys playing on jungle gym","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"485","NULL","NULL","Video of a group of friends camping.","Amateur Footage","OUTDOOR ACTIVITIES","","","","","","","","",""
"519","P002","positive","A batter hits an RBI single in a little league game.","Home Video","MED_10_EVENTS","","","","","","yes","no","no","no"
"617","P001","positive","two men demonstrate how to set up a common dome tent","Demonstration","MED_10_EVENTS","Two men demonstrate how to set up a common dome tent. They unpack the tent and explain all of the components and what they do as they assemble the tent. They are in the woods near Fredericksburg, VA.","two men\ntent, poles, rope, stakes, sleeping pad, sleeping bag","setting up a tent in the woods","","","yes","yes","no","no"
"620","P001","positive","Man explains how to make a survival shelter from an emergency blanket.","Tutorial","MED_10_EVENTS","wooded area","man, dog in background\nemergency blanket, cord, duct tape, knife, trees","Man explains how to set up a shelter in the woods using emergency blanket, cord, and duct tape. Man explains where to set up the shelter, stay alive, and get rescued.","","","yes","no","no","no"
"635","P002","positive","A girl talks about going to play baseball, then we see clips of the game, including runs being batted in.","Home Video","MED_10_EVENTS","","","","","","yes","yes","no","no"
"648","NULL","NULL","B&W video of the  Palazzo Venezia in Rome, Italay.","Home Video","ARTS & CRAFTS & HOBBIES","","","","","","","","",""
"659","NULL","NULL","Video of the Boston Marathon.","Amateur Footage","INFORMATIVE","","","","","","","","",""
"660","NULL","NULL","woman plays with two puppies outside","Home Video","ANIMALS","","","","","","","","",""
"682","NULL","NULL","kids playing on a playground at recess","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"703","P002","positive","Little league 2 run double","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"711","P002","positive","Little league home run","Home Video","MED_10_EVENTS","","","","","","yes","no","no","no"
"712","P002","positive","Little league 2 run home run","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"715","P002","positive","Montage of little league at bats including runs being batted in","Home Video","MED_10_EVENTS","","","","","","no","no","no","no"
"735","NULL","NULL","Cat hiding and walking around","Home Video","ANIMALS","","","","","","","","",""
"748","NULL","NULL","Little girl playing with a cat and a slide","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"750","NULL","NULL","Baby going down a slide","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"753","NULL","NULL","Little girl going down a slide, playing with a cat and jumping","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"758","NULL","NULL","Little girl getting pushed on a wagon but another little girl","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"759","NULL","NULL","Little boy listening to singing and little girl dancing","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"760","NULL","NULL","Little girl walking around inside","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"763","NULL","NULL","Baby sitting around","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"764","NULL","NULL","Baby jumping on the bed","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"766","NULL","NULL","Little girl running around and dancing","Home Video","INDOOR ACTIVITIES","","","","","","","","",""
"767","NULL","NULL","Video of a tree","Home Video","NATURE","","","","","","","","",""
"772","NULL","NULL","Clouds in the sky","Home Video","NATURE","","","","","","","","",""
"854","NULL","NULL","Two people on spring-stilts performing  tricks.","Home Video","PERFORMANCE","","","","","","","","",""
"863","NULL","NULL","The construction of the WTC in NYC.","Movie (public domain)","MED_10_EVENTS","","","","","","","","",""
"886","NULL","NULL","A woman pick up another woman and carris her around while other people laugh.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"895","NULL","NULL","Footage of a woman and two children outdoors, heavily tinted yellow.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"896","NULL","NULL","Footage of the sky in which the camera zooms in on a light in the sky, and a man talks about the shot.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"909","P001","positive","several people build a snow shelter","Amateur Footage","MED_10_EVENTS","outdoors during the day","digging tools","packing snow","normal","normal","no","yes","no","no"
"933","P003","positive","A guy is mixing cake batter, then it cuts to the cake with candles and him singing happy birthday to his wife or girlfriend.","Home Video","MED_10_EVENTS","","","","normal","normal","yes","no","no","no"
"938","NULL","NULL","A couple go to a Canada Day celebration, and they bake french toast souffle.","Home Video","CELEBRATION","","","","","","","","",""
"1012","P001","positive","Two man put up a tent","Demonstration","MED_10_EVENTS","outdoor clearing amongst trees","two adult men","The spread the fabric, connect poles","normal","normal","no","no","no","no"
"1040","P002","positive","Montage of at-bats including base hits, runs batted in and walks","Home Video","MED_10_EVENTS","","","","normal","normal","no","no","no","no"
"1060","NULL","NULL","Cats sleeping and licking each other","Home Video","ANIMALS","","","","","","","","",""
"1062","P003","positive","An old cake mix commercial, in which we see cake being mixed and frosted, and candles being lit.","Advertisement (public domain)","MED_10_EVENTS","","","","normal","normal","yes","yes","no","no"
"1068","NULL","NULL","A man is in the woods, rubbing various sticks and branches together, and falling on the ground.","Home Video","OUTDOOR ACTIVITIES","","","","","","","","",""
"1073","NULL","NULL","Cat playing with a toy","Home Video","ANIMALS","","","","","","","","",""
