"TrialID","ClipID","EventID"
"51.P001","51","P001"
"51.P002","51","P002"
"51.P003","51","P003"
"72.P001","72","P001"
"72.P002","72","P002"
"72.P003","72","P003"
"285.P001","285","P001"
"285.P002","285","P002"
"285.P003","285","P003"
"329.P001","329","P001"
"329.P002","329","P002"
"329.P003","329","P003"
"330.P001","330","P001"
"330.P002","330","P002"
"330.P003","330","P003"
"387.P001","387","P001"
"387.P002","387","P002"
"387.P003","387","P003"
"397.P001","397","P001"
"397.P002","397","P002"
"397.P003","397","P003"
"422.P001","422","P001"
"422.P002","422","P002"
"422.P003","422","P003"
"444.P001","444","P001"
"444.P002","444","P002"
"444.P003","444","P003"
"469.P001","469","P001"
"469.P002","469","P002"
"469.P003","469","P003"
"470.P001","470","P001"
"470.P002","470","P002"
"470.P003","470","P003"
"473.P001","473","P001"
"473.P002","473","P002"
"473.P003","473","P003"
"474.P001","474","P001"
"474.P002","474","P002"
"474.P003","474","P003"
"475.P001","475","P001"
"475.P002","475","P002"
"475.P003","475","P003"
"478.P001","478","P001"
"478.P002","478","P002"
"478.P003","478","P003"
"485.P001","485","P001"
"485.P002","485","P002"
"485.P003","485","P003"
"519.P001","519","P001"
"519.P002","519","P002"
"519.P003","519","P003"
"617.P001","617","P001"
"617.P002","617","P002"
"617.P003","617","P003"
"620.P001","620","P001"
"620.P002","620","P002"
"620.P003","620","P003"
"635.P001","635","P001"
"635.P002","635","P002"
"635.P003","635","P003"
"648.P001","648","P001"
"648.P002","648","P002"
"648.P003","648","P003"
"659.P001","659","P001"
"659.P002","659","P002"
"659.P003","659","P003"
"660.P001","660","P001"
"660.P002","660","P002"
"660.P003","660","P003"
"682.P001","682","P001"
"682.P002","682","P002"
"682.P003","682","P003"
"703.P001","703","P001"
"703.P002","703","P002"
"703.P003","703","P003"
"711.P001","711","P001"
"711.P002","711","P002"
"711.P003","711","P003"
"712.P001","712","P001"
"712.P002","712","P002"
"712.P003","712","P003"
"715.P001","715","P001"
"715.P002","715","P002"
"715.P003","715","P003"
"735.P001","735","P001"
"735.P002","735","P002"
"735.P003","735","P003"
"748.P001","748","P001"
"748.P002","748","P002"
"748.P003","748","P003"
"750.P001","750","P001"
"750.P002","750","P002"
"750.P003","750","P003"
"753.P001","753","P001"
"753.P002","753","P002"
"753.P003","753","P003"
"758.P001","758","P001"
"758.P002","758","P002"
"758.P003","758","P003"
"759.P001","759","P001"
"759.P002","759","P002"
"759.P003","759","P003"
"760.P001","760","P001"
"760.P002","760","P002"
"760.P003","760","P003"
"763.P001","763","P001"
"763.P002","763","P002"
"763.P003","763","P003"
"764.P001","764","P001"
"764.P002","764","P002"
"764.P003","764","P003"
"766.P001","766","P001"
"766.P002","766","P002"
"766.P003","766","P003"
"767.P001","767","P001"
"767.P002","767","P002"
"767.P003","767","P003"
"772.P001","772","P001"
"772.P002","772","P002"
"772.P003","772","P003"
"854.P001","854","P001"
"854.P002","854","P002"
"854.P003","854","P003"
"863.P001","863","P001"
"863.P002","863","P002"
"863.P003","863","P003"
"886.P001","886","P001"
"886.P002","886","P002"
"886.P003","886","P003"
"895.P001","895","P001"
"895.P002","895","P002"
"895.P003","895","P003"
"896.P001","896","P001"
"896.P002","896","P002"
"896.P003","896","P003"
"909.P001","909","P001"
"909.P002","909","P002"
"909.P003","909","P003"
"933.P001","933","P001"
"933.P002","933","P002"
"933.P003","933","P003"
"938.P001","938","P001"
"938.P002","938","P002"
"938.P003","938","P003"
"1012.P001","1012","P001"
"1012.P002","1012","P002"
"1012.P003","1012","P003"
"1040.P001","1040","P001"
"1040.P002","1040","P002"
"1040.P003","1040","P003"
"1060.P001","1060","P001"
"1060.P002","1060","P002"
"1060.P003","1060","P003"
"1062.P001","1062","P001"
"1062.P002","1062","P002"
"1062.P003","1062","P003"
"1068.P001","1068","P001"
"1068.P002","1068","P002"
"1068.P003","1068","P003"
"1073.P001","1073","P001"
"1073.P002","1073","P002"
"1073.P003","1073","P003"
"1074.P001","1074","P001"
"1074.P002","1074","P002"
"1074.P003","1074","P003"
"1075.P001","1075","P001"
"1075.P002","1075","P002"
"1075.P003","1075","P003"
"1077.P001","1077","P001"
"1077.P002","1077","P002"
"1077.P003","1077","P003"
"1078.P001","1078","P001"
"1078.P002","1078","P002"
"1078.P003","1078","P003"
"1084.P001","1084","P001"
"1084.P002","1084","P002"
"1084.P003","1084","P003"
"1085.P001","1085","P001"
"1085.P002","1085","P002"
"1085.P003","1085","P003"
"1087.P001","1087","P001"
"1087.P002","1087","P002"
"1087.P003","1087","P003"
"1099.P001","1099","P001"
"1099.P002","1099","P002"
"1099.P003","1099","P003"
"1103.P001","1103","P001"
"1103.P002","1103","P002"
"1103.P003","1103","P003"
"1109.P001","1109","P001"
"1109.P002","1109","P002"
"1109.P003","1109","P003"
"1110.P001","1110","P001"
"1110.P002","1110","P002"
"1110.P003","1110","P003"
"1111.P001","1111","P001"
"1111.P002","1111","P002"
"1111.P003","1111","P003"
"1113.P001","1113","P001"
"1113.P002","1113","P002"
"1113.P003","1113","P003"
"1114.P001","1114","P001"
"1114.P002","1114","P002"
"1114.P003","1114","P003"
"1115.P001","1115","P001"
"1115.P002","1115","P002"
"1115.P003","1115","P003"
"1122.P001","1122","P001"
"1122.P002","1122","P002"
"1122.P003","1122","P003"
"1123.P001","1123","P001"
"1123.P002","1123","P002"
"1123.P003","1123","P003"
"1126.P001","1126","P001"
"1126.P002","1126","P002"
"1126.P003","1126","P003"
"1128.P001","1128","P001"
"1128.P002","1128","P002"
"1128.P003","1128","P003"
"1129.P001","1129","P001"
"1129.P002","1129","P002"
"1129.P003","1129","P003"
"1131.P001","1131","P001"
"1131.P002","1131","P002"
"1131.P003","1131","P003"
"1145.P001","1145","P001"
"1145.P002","1145","P002"
"1145.P003","1145","P003"
"1146.P001","1146","P001"
"1146.P002","1146","P002"
"1146.P003","1146","P003"
"1147.P001","1147","P001"
"1147.P002","1147","P002"
"1147.P003","1147","P003"
"1148.P001","1148","P001"
"1148.P002","1148","P002"
"1148.P003","1148","P003"
"1149.P001","1149","P001"
"1149.P002","1149","P002"
"1149.P003","1149","P003"
"1159.P001","1159","P001"
"1159.P002","1159","P002"
"1159.P003","1159","P003"
"1165.P001","1165","P001"
"1165.P002","1165","P002"
"1165.P003","1165","P003"
"1184.P001","1184","P001"
"1184.P002","1184","P002"
"1184.P003","1184","P003"
"1212.P001","1212","P001"
"1212.P002","1212","P002"
"1212.P003","1212","P003"
"1214.P001","1214","P001"
"1214.P002","1214","P002"
"1214.P003","1214","P003"
"1215.P001","1215","P001"
"1215.P002","1215","P002"
"1215.P003","1215","P003"
"1219.P001","1219","P001"
"1219.P002","1219","P002"
"1219.P003","1219","P003"
"1221.P001","1221","P001"
"1221.P002","1221","P002"
"1221.P003","1221","P003"
"1222.P001","1222","P001"
"1222.P002","1222","P002"
"1222.P003","1222","P003"
"1224.P001","1224","P001"
"1224.P002","1224","P002"
"1224.P003","1224","P003"
"1227.P001","1227","P001"
"1227.P002","1227","P002"
"1227.P003","1227","P003"
"1235.P001","1235","P001"
"1235.P002","1235","P002"
"1235.P003","1235","P003"
"1236.P001","1236","P001"
"1236.P002","1236","P002"
"1236.P003","1236","P003"
"1239.P001","1239","P001"
"1239.P002","1239","P002"
"1239.P003","1239","P003"
"1240.P001","1240","P001"
"1240.P002","1240","P002"
"1240.P003","1240","P003"
"1243.P001","1243","P001"
"1243.P002","1243","P002"
"1243.P003","1243","P003"
"1245.P001","1245","P001"
"1245.P002","1245","P002"
"1245.P003","1245","P003"
"1249.P001","1249","P001"
"1249.P002","1249","P002"
"1249.P003","1249","P003"
"1250.P001","1250","P001"
"1250.P002","1250","P002"
"1250.P003","1250","P003"
"1251.P001","1251","P001"
"1251.P002","1251","P002"
"1251.P003","1251","P003"
"1252.P001","1252","P001"
"1252.P002","1252","P002"
"1252.P003","1252","P003"
"1256.P001","1256","P001"
"1256.P002","1256","P002"
"1256.P003","1256","P003"
"1257.P001","1257","P001"
"1257.P002","1257","P002"
"1257.P003","1257","P003"
"1260.P001","1260","P001"
"1260.P002","1260","P002"
"1260.P003","1260","P003"
"1261.P001","1261","P001"
"1261.P002","1261","P002"
"1261.P003","1261","P003"
"1267.P001","1267","P001"
"1267.P002","1267","P002"
"1267.P003","1267","P003"
"1334.P001","1334","P001"
"1334.P002","1334","P002"
"1334.P003","1334","P003"
"1336.P001","1336","P001"
"1336.P002","1336","P002"
"1336.P003","1336","P003"
"1339.P001","1339","P001"
"1339.P002","1339","P002"
"1339.P003","1339","P003"
"1342.P001","1342","P001"
"1342.P002","1342","P002"
"1342.P003","1342","P003"
"1344.P001","1344","P001"
"1344.P002","1344","P002"
"1344.P003","1344","P003"
"1346.P001","1346","P001"
"1346.P002","1346","P002"
"1346.P003","1346","P003"
"1348.P001","1348","P001"
"1348.P002","1348","P002"
"1348.P003","1348","P003"
"1352.P001","1352","P001"
"1352.P002","1352","P002"
"1352.P003","1352","P003"
"1380.P001","1380","P001"
"1380.P002","1380","P002"
"1380.P003","1380","P003"
"1406.P001","1406","P001"
"1406.P002","1406","P002"
"1406.P003","1406","P003"
"1407.P001","1407","P001"
"1407.P002","1407","P002"
"1407.P003","1407","P003"
"1409.P001","1409","P001"
"1409.P002","1409","P002"
"1409.P003","1409","P003"
"1418.P001","1418","P001"
"1418.P002","1418","P002"
"1418.P003","1418","P003"
"1423.P001","1423","P001"
"1423.P002","1423","P002"
"1423.P003","1423","P003"
"1424.P001","1424","P001"
"1424.P002","1424","P002"
"1424.P003","1424","P003"
"1426.P001","1426","P001"
"1426.P002","1426","P002"
"1426.P003","1426","P003"
"1427.P001","1427","P001"
"1427.P002","1427","P002"
"1427.P003","1427","P003"
"1428.P001","1428","P001"
"1428.P002","1428","P002"
"1428.P003","1428","P003"
"1430.P001","1430","P001"
"1430.P002","1430","P002"
"1430.P003","1430","P003"
"1432.P001","1432","P001"
"1432.P002","1432","P002"
"1432.P003","1432","P003"
"1435.P001","1435","P001"
"1435.P002","1435","P002"
"1435.P003","1435","P003"
"1439.P001","1439","P001"
"1439.P002","1439","P002"
"1439.P003","1439","P003"
"1441.P001","1441","P001"
"1441.P002","1441","P002"
"1441.P003","1441","P003"
"1558.P001","1558","P001"
"1558.P002","1558","P002"
"1558.P003","1558","P003"
"1559.P001","1559","P001"
"1559.P002","1559","P002"
"1559.P003","1559","P003"
"1565.P001","1565","P001"
"1565.P002","1565","P002"
"1565.P003","1565","P003"
"1566.P001","1566","P001"
"1566.P002","1566","P002"
"1566.P003","1566","P003"
"1580.P001","1580","P001"
"1580.P002","1580","P002"
"1580.P003","1580","P003"
"1584.P001","1584","P001"
"1584.P002","1584","P002"
"1584.P003","1584","P003"
"1585.P001","1585","P001"
"1585.P002","1585","P002"
"1585.P003","1585","P003"
"1586.P001","1586","P001"
"1586.P002","1586","P002"
"1586.P003","1586","P003"
"1587.P001","1587","P001"
"1587.P002","1587","P002"
"1587.P003","1587","P003"
"1588.P001","1588","P001"
"1588.P002","1588","P002"
"1588.P003","1588","P003"
"1591.P001","1591","P001"
"1591.P002","1591","P002"
"1591.P003","1591","P003"
"1592.P001","1592","P001"
"1592.P002","1592","P002"
"1592.P003","1592","P003"
"1593.P001","1593","P001"
"1593.P002","1593","P002"
"1593.P003","1593","P003"
"1595.P001","1595","P001"
"1595.P002","1595","P002"
"1595.P003","1595","P003"
"1596.P001","1596","P001"
"1596.P002","1596","P002"
"1596.P003","1596","P003"
"1598.P001","1598","P001"
"1598.P002","1598","P002"
"1598.P003","1598","P003"
"1599.P001","1599","P001"
"1599.P002","1599","P002"
